丶丶,OdOd	⺀
彳幺止亍,GcDyLiGc	𰳭
彳止方亍,GcLiMfGc	𰳮
彳止土亍,GcLiEtGc	𰳯
衤匕,QiWb	𰳰
衤六,QiMl	𰳱
衤龙,QiVl	𰳲
𠂇巾衣,PsAjQi	𰳳
衤亻弋,QiHrXi	𰳴
衤艹乙,QiZcKi	𰳵
衤丶水,QiOdMs	𰳶
衤力口,QiClKk	𰳷
衤又寸,QiTyOc	𰳸
衤厂犬,QiUcAq	𰳹
衤冖𧘇,QiGgQi	𰳺
衤大辶,QiIdJc	𰳻
衤一,QiDiFyFy	𰳼
衤耂子,QiRlHi	𰳽
衤且力,QiHqCl	𰳾
衤爫女,QiIaWn	𰳿
衤,QiSjNb	𰴀
衤艹丿大,QiZcTpId	𰴁
衤厶大彡,QiIsIdFs	𰴂
衤田,QiQgCt	𰴃
衤⺷水,QiSyMs	𰴄
衤皮田,QiNpCt	𰴅
木土⺄衣,YmEtAeQi	𰴆
衤土,QiSsEt	𰴇
衤𠂉母攵,QiStPmAp	𰴈
衤宀龶罒心,QiGgJfLx	𰴉
衤目目亼口廾,QiEmEmZc	𰴊
覀土土九,UxEtEtLj	𰴋
覀女忄人,UxWnLxHr	𰴌
覀女业䒑未,UxWnOyVw	𰴍
冂大見,JkIdDj	𰴎
見句,DjEj	𰴏
丿夫見,TpGfDj	𰴐
見一大口,DjDiIdKk	𰴑
一雨見,DiXvDj	𰴒
十目見,PsEmNbDj	𰴓
业隹見,OyMiDj	𰴔
心丿见,LxTpKj	𰴕
刀口见,NdKkKj	𰴖
一见,DiFyFyKj	𰴗
门日见,TmUrKj	𰴘
丿口见,WjTpKkKj	𰴙
米女见,FmWnKj	𰴚
业见,OyKj	𰴛
虍且见,ShHqKj	𰴜
爫龴冂厶又见,IaIsJkKj	𰴝
虍豆见,ShGdKj	𰴞
刀月,NdFy	𰴟
⺈用又,DdGyTy	𰴠
⺈用廾,DdGyZc	𰴡
⺈用小,DdGyKkIx	𰴢
ツ冖⺈用,MsGgDdGy	𰴣
⺈用未丷,DdGyVwNb	𰴤
⺈用门日,DdGyTmUr	𰴥
⺈用門日,DdGySmUr	𰴦
言⺄,DyAe	𰴧
厶言,IsDy	𰴨
言刀,DyNd	𰴩
不言,RbDy	𰴪
言未,DyVw	𰴫
歺言,SdDy	𰴬
一囗人言,DiAkHrDy	𰴭
言{凬字心}一,DyScDi	𰴮
艹冖言,ZcGgDy	𰴯
言{双口},DyPx	𰴰
月言又,FyDyTy	𰴱
言䒑,DyNbMc	𰴲
言宀小,DyGgIx	𰴳
宀女言,GgWnDy	𰴴
言厂,DyXlUc	𰴵
言乛水一,DyAeMsDi	𰴶
言幺夂,DyDyJi	𰴷
又欠言,TyPqDy	𰴸
言〢又土,DyNdTyEt	𰴹
言宀木,DyGgYm	𰴺
言门心,DyTmLx	𰴻
言目,DyEmNb	𰴼
言丷夫⺋,DyNbGfWj	𰴽
言厂龙,DyUcVlFs	𰴾
囗人人人言,AkHrHrDy	𰴿
言勹言,DyAkDy	𰵀
言犭艮,DyAqPg	𰵁
言米女,DyFmWn	𰵂
言立口儿,DyXlKkRe	𰵃
言又隹,DyTyMi	𰵄
言宀火火,DyGgRhRh	𰵅
言{双口}䒑,DyPxNbMc	𰵆
言隹,DyMiJk	𰵇
言⺮土寸,DyJuEtOc	𰵈
言艹罒冖夕,DyZcBsVx	𰵉
讠丩,CyEj	𰵊
讠千,CyNq	𰵋
讠ㄋ,CyAeFs	𰵌
讠一,CyDiMc	𰵍
讠尤,CyVy	𰵎
讠小丿,CyIxTp	𰵏
讠⺁又,CyUcTy	𰵐
讠丶力丶,CyOdClOd	𰵑
讠冖儿,CyGgRe	𰵒
讠木丶,CyYmOd	𰵓
讠廿㇗,CyPnAe	𰵔
讠龴,CyOsIs	𰵕
讠艹乙,CyZcKi	𰵖
讠冂大,CyJkId	𰵗
讠冂土,CyJkEt	𰵘
讠丿夫,CyTpGf	𰵙
讠亽龴,CyZiIs	𰵚
讠句,CyEj	𰵛
讠勹巳,CyAkVs	𰵜
讠禾,CyBh	𰵝
讠丶水,CyOdMs	𰵞
讠丷三,CyNbAs	𰵟
讠女又,CyWnTy	𰵠
讠ス工,CyTyLg	𰵡
讠夫丷,CyGfNb	𰵢
讠亼口,CyZiKk	𰵣
讠各,CyKg	𰵤
讠夕夕,CyVxVx	𰵥
讠六乂,CyMlEi	𰵦
讠士心,CyJsLx	𰵧
讠一厂,CyDiRhUc	𰵨
讠甫,CyBf	𰵩
讠冂八口,CyJkNbKk	𰵪
讠豆,CyGd	𰵫
讠口力刂,CyKkClNd	𰵬
讠禾刂,CyBhNd	𰵭
讠丿扌,CyTpOsAg	𰵮
讠厶八夂,CyIsNbJi	𰵯
讠土,CyEtSy	𰵰
讠木木,CyYmYm	𰵱
讠,CyFgNb	𰵲
讠⺊日十,CyFbUrPs	𰵳
讠⺊一小又,CyFbDiTy	𰵴
讠臼儿,CyYjRe	𰵵
讠千艹士,CyNqZcJs	𰵶
讠又又又又,CyTyTyTy	𰵷
讠水日,CyMsUr	𰵸
讠耳又又,CyVeTyTy	𰵹
讠厂白小,CyUcJbIx	𰵺
讠艹大二ㄅ,CyZcIdAe	𰵻
讠夕㐄木,CyVxLkYm	𰵼
讠爫臼,CyIaYj	𰵽
讠爫幺大,CyIaDyId	𰵾
讠高,CyQg	𰵿
讠⻗二ㄅ,CyXvNeAe	𰶀
讠禾夕夕,CyBhVxVx	𰶁
讠丿心,CyTpKlLx	𰶂
讠羽白,CyWvJb	𰶃
讠大耂日,CyIdRlUr	𰶄
讠自冫十,CyViGbPs	𰶅
讠ヿ耳攵,CyAeVeAp	𰶆
讠阝𠂇工⺝,CyXePsFy	𰶇
讠尸氺牛,CyFsMsXn	𰶈
讠亠囗口日一,CyLtAkDi	𰶉
讠音心,CyWyLx	𰶊
讠宀井巳,CyGgVjVs	𰶋
讠⻗而,CyXvKe	𰶌
讠⺈冂八目攵,CyDdJkAp	𰶍
讠刀丶止刀丶止,CyNdOdLi	𰶎
讠龠,CyFl	𰶏
人谷,HrYg	𰶐
谷龙,YgVl	𰶑
勹巳谷,AkVsYg	𰶒
谷歹刂,YgSdNd	𰶓
谷十乛丶丶大,YgPsAeId	𰶔
谷亻亡一大,YgHrNwId	𰶕
宀工口谷,GgLgKkYg	𰶖
豆ヿ,GdAe	𰶗
夫豆,GfGd	𰶘
豆一火,GdDiRh	𰶙
丿夫豆,TpGfGd	𰶚
亻犬豆,HrAqGd	𰶛
豆宀二儿,GdGgNeRe	𰶜
非豆,LfGd	𰶝
豆十戈木,GdPsAgYm	𰶞
士殳豆,JsFsRsGd	𰶟
豆耂日阝,GdRlUrXe	𰶠
豆田,GdRmCt	𰶡
豆木目心,GdYmEmLx	𰶢
曲豆巛口巴,EqGdKcBb	𰶣
豕匕,HsWb	𰶤
豕卩,HsWj	𰶥
豕矢,HsGs	𰶦
豕耳又,HsVeTy	𰶧
豕爫见,HsIaKj	𰶨
丷夫彐豕,NbGfWjHs	𰶩
豕木日一,HsYmUrDi	𰶪
豕艹亽龴,HsZcZiIs	𰶫
豕米女,HsFmWn	𰶬
豕阝𠂇⺝,HsXePsFy	𰶭
豕彳䒑之,HsGcNbXi	𰶮
象木木,FxYmYm	𰶯
豕⻗口{双口}工人人,HsXvKkHr	𰶰
十貝,PsRb	𰶱
亡貝,NwRb	𰶲
匕貝,WbWbRb	𰶳
貝土丶,RbEtOd	𰶴
止貝,LiRb	𰶵
勹貝,AkFsRb	𰶶
貝欠,RbPq	𰶷
之貝,XiRb	𰶸
貝文,RbLw	𰶹
厶貝𠃌一,IsRbAeDi	𰶺
貝弓丨,RbCgHs	𰶻
貝田,RbCt	𰶼
貝口,RbKkEi	𰶽
貝亽龴,RbZiIs	𰶾
貝宀匕,RbGgWb	𰶿
貝耳,RbVe	𰷀
貝⺌彐,RbIxWj	𰷁
貝夕夕,RbVxVx	𰷂
山巳貝,UsVsRb	𰷃
人王貝,HrRwRb	𰷄
貝厂㠯,RbUcTi	𰷅
王攵貝,RwApRb	𰷆
貝一山,RbSjDiUs	𰷇
貝勹米,RbAkFm	𰷈
貝面,RbXm	𰷉
貝十戈木,RbPsAgYm	𰷊
貝龷八一廾,RbPnNbZc	𰷋
十廾虫貝,PsZcVcRb	𰷌
口貝,MuKkRb	𰷍
士殳貝,JsFsRsRb	𰷎
貝至⺊一又,RbGiFbTy	𰷏
⺈田日貝,DdCtUrRb	𰷐
貝土人人,RbEtHrQi	𰷑
虫貝,VcRbSjNb	𰷒
虫貝亻木一,VcRbHrDi	𰷓
人士罒貝,HrNdJsRb	𰷔
穴工八刀貝,AxLgNbRb	𰷕
貝〢灬,RbNbWjRh	𰷖
貝屮凵示又,RbMcJkTy	𰷗
貝土土,RbEtRhRh	𰷘
日耂日⺈貝,UrRlUrRb	𰷙
貝宀貝,RbGgFsRb	𰷚
貝广䒑〢灬,RbBgNbRh	𰷛
貝⺈厂⺿口言,RbDdUcDy	𰷜
音十夂彡貝,WyPsJiRb	𰷝
弋贝,XiVb	𰷞
贝ㄋ,VbAeFs	𰷟
贝也,VbEy	𰷠
贝二儿,VbNeRe	𰷡
贝氏丶,VbZsOd	𰷢
夫夫贝,GfGfVb	𰷣
贝亠人人十,VbLtHrPs	𰷤
宀示贝,GgLsVb	𰷥
云弗贝,ZyXfVb	𰷦
聿灬贝,IvRhVb	𰷧
贝鬼,VbEg	𰷨
贝丷夫贝,VbNbGfVb	𰷩
贝皿,VbMsHm	𰷪
贝犬犬犬,VbAqAqAq	𰷫
贝广䒑,VbBgNbRh	𰷬
贝臣,VbMuEc	𰷭
虎虎贝,ShShVb	𰷮
冂一口土,JkDiKkRh	𰷯
土火火冖{双口},EtRhRhPx	𰷰
走与,IzNy	𰷱
走片,IzJp	𰷲
丿大龰且,TpIdLiHq	𰷳
走小,IzKkIx	𰷴
走一儿,IzAgDiRe	𰷵
走丿大,IzTpIdNd	𰷶
走豕,IzHs	𰷷
走十乛丶丶大,IzPsAeId	𰷸
走木木,IzYmYm	𰷹
走⺊貝,IzFbRb	𰷺
丿大龰匕目㇗八,TpIdLiNb	𰷻
走𠂇口冂口,IzPsKkKk	𰷼
走夕⺋田,IzVxWjCt	𰷽
走虍勹丶,IzShAkOd	𰷾
丿大龰丿大口冂口,TpIdLiKk	𰷿
走⻗亽龴,IzXvZiIs	𰸀
⻊刀,IuNd	𰸁
⻊大,IuId	𰸂
⻊㇏,IuDdOd	𰸃
⻊ㄋ,IuAeFs	𰸄
⻊攴,IuAp	𰸅
⻊六,IuMl	𰸆
⻊又又,IuTyTy	𰸇
扌丸足,OsLoIu	𰸈
⻊大一𬺰,IuIdDiPs	𰸉
⻊山夕,IuUsVx	𰸊
⻊⺁一口,IuUcDiKk	𰸋
⻊月刂,IuFyNd	𰸌
人止足,HrLiIu	𰸍
⻊厂,IuXlUc	𰸎
冫欠足,GbPqIu	𰸏
⻊一,IuDiFyFy	𰸐
⻊古儿,IuOgRe	𰸑
⻊⺈丨日,IuDdHsUr	𰸒
⻊厶小又,IuIsIxTy	𰸓
⻊车辶,IuXcJc	𰸔
⻊止⺝,IuLiFy	𰸕
⻊日卩,IuUrKkWj	𰸖
⻊冂米,IuJkFm	𰸗
⻊忄又土,IuLxTyEt	𰸘
⻊厶大彡,IuIsIdFs	𰸙
⻊卅冖巾,IuQsGgAj	𰸚
卅冖巾足,QsGgAjIu	𰸛
⻊甘木,IuFgYm	𰸜
⻊龷八二ㄅ,IuPnNbAe	𰸝
⻊虫贝,IuVcVb	𰸞
⻊水田,IuMsCt	𰸟
⻊貝刂,IuRbNd	𰸠
⻊亼口廾,IuZiKkZc	𰸡
⻊一大氺,IuDiIdMs	𰸢
⻊⺈心,IuDdWjLx	𰸣
⻊儿゛,IuAtReGb	𰸤
⻊丁,IuQgPd	𰸥
⻊力口贝,IuClKkVb	𰸦
⻊乛水三一,IuAeMsDi	𰸧
⻊龷米,IuPnFm	𰸨
⻊儿冫辶,IuReGbJc	𰸩
⻊彳日一寸,IuGcUrOc	𰸪
⻊壴彡,IuEuFs	𰸫
⻊扌日疋,IuOsUrEs	𰸬
⻊貝⺊口,IuRbFbKk	𰸭
⻊日一里,IuUrDiAl	𰸮
⻊黽,IuUm	𰸯
⻊止頁,IuLiWy	𰸰
⻊豆,IuNbGd	𰸱
⻊⺮卩,IuJuPgWj	𰸲
⻊艹隹又,IuZcMiTy	𰸳
⻊匕矢龴疋,IuWbGsEs	𰸴
⻊亽龴頁,IuZiIsWy	𰸵
⻊亻僉,IuHrVq	𰸶
丿㠯辛足,McTpTiIu	𰸷
⻊丿㠯大冖巾,IuTpTiAj	𰸸
⻊艹丿㠯辛子,IuZcTpHi	𰸹
身⺁又,XsUcTy	𰸺
身勹弓,XsAkCg	𰸻
身丿夫,XsTpGf	𰸼
身心丿,XsLxTp	𰸽
身日一寸,XsUrDiOc	𰸾
身罒夕,XsBsVx	𰸿
身ツ田十,XsMsCtPs	𰹀
身不一止,XsRbDiLi	𰹁
身艹句,XsZcEj	𰹂
身艹𠂇口,XsZcPsKk	𰹃
身山而,XsUsKe	𰹄
身一丰,XsOsDiJf	𰹅
身爫冖𠂇又,XsIaGgTy	𰹆
身艹禾女,XsZcBhWn	𰹇
車乙,QcKi	𰹈
車𠃌,QcAe	𰹉
車丿七,QcTpCq	𰹊
車勹丶,QcAkOd	𰹋
六車,MlQc	𰹌
車木一,QcYmDi	𰹍
車丿冂人,QcTpJkHr	𰹎
車夕卩,QcVxWj	𰹏
車力口,QcClKk	𰹐
車亠日,QcLtUr	𰹑
車尸水,QcFsMs	𰹒
車戈口一,QcAgKkDi	𰹓
車日木,QcUrYm	𰹔
車口又口,QcKkTyKk	𰹕
車禾,QcBhWj	𰹖
車爫一寸,QcIaDiOc	𰹗
車爫冖又,QcIaGgTy	𰹘
車勹二止,QcAkNeLi	𰹙
車又又欠,QcTyTyPq	𰹚
車禾龷,QcBhPn	𰹛
車㐅凵小又,QcEiJkTy	𰹜
車可,QcXlEk	𰹝
厶厶厶大車,IsIsIsQc	𰹞
車口丨一田,QcKkHsCt	𰹟
車隹乃,QcMiDn	𰹠
車彑氺刂,QcWjMsNd	𰹡
車予丿示,QcOvTpLs	𰹢
車⺈丨日心,QcDdHsLx	𰹣
車田,QcRmCt	𰹤
車日罒一,QcUrBsNd	𰹥
車卯貝,QcRmRb	𰹦
車肀片爿一,QcIvJpDi	𰹧
車山而辶,QcUsKeJc	𰹨
車宀一貝,QcGgDiRb	𰹩
車广䒑〢灬,QcBgNbRh	𰹪
糸車糸山,FsQcFsUs	𰹫
車艹臣,QcZcMuEc	𰹬
車⺮土厶月攵,QcJuEtAp	𰹭
車艹門隹灬,QcZcSmRh	𰹮
车乙,XcKi	𰹯
车入,XcVu	𰹰
车㔾,XcWj	𰹱
车口,XcKk	𰹲
车川,XcKc	𰹳
车几丶,XcQjOd	𰹴
车丶乂,XcOdEi	𰹵
车王,XcRw	𰹶
车二儿,XcNeRe	𰹷
车一,XcDiMc	𰹸
车七刀,XcCqNd	𰹹
车⺁又,XcUcTy	𰹺
车巴,XcBb	𰹻
车一戈,XcDiAg	𰹼
车干丷,XcZgNb	𰹽
〢车,NdJuXc	𰹾
车亻寸,XcHrOc	𰹿
车氏丶,XcZsOd	𰺀
车句,XcEj	𰺁
车勹巳,XcAkVs	𰺂
车又寸,XcTyOc	𰺃
车龷八,XcPnNb	𰺄
龷八车,PnNbXc	𰺅
车勹日,XcAkUr	𰺆
车宀二儿,XcGgNeRe	𰺇
车丿口,XcWjTpKk	𰺈
车龶⺝,XcJfFy	𰺉
车土八夂,XcEtNbJi	𰺊
车耳又,XcVeTy	𰺋
车十乛丶丶大,XcPsAeId	𰺌
车田木,XcCtYm	𰺍
车非,XcLf	𰺎
车月月,XcFyFy	𰺏
车⺈臼,XcDdYj	𰺐
车宀夕⺋,XcGgVxWj	𰺑
车山而,XcUsKe	𰺒
车𠂉日夂,XcStUrJi	𰺓
车㐅凵八夂,XcEiJkJi	𰺔
车广廿又,XcBgPnTy	𰺕
车㇏禾,XcJfOdBh	𰺖
车〢皿,XcNdJuHm	𰺗
士殳车,JsFsRsXc	𰺘
车土丷囗口,XcEtNbKk	𰺙
车而而,XcKeKe	𰺚
车大丷日小,XcIdNbIx	𰺛
车丿米田,XcTpFmCt	𰺜
车立里,XcXlAl	𰺝
车尸子子子,XcFsHiHi	𰺞
車凵殳车,QcJkRsXc	𰺟
车十冂犬,XcPsJkAq	𰺠
车艹土厶皿,XcZcEtHm	𰺡
车石石石,XcDsDsDs	𰺢
车艹门隹,XcZcTmMi	𰺣
车自穴方,XcViAxMf	𰺤
辛丸,SxLo	𰺥
辛卩又,SxWjTy	𰺦
𠂒儿辛,XnReSx	𰺧
辛一田凵,SxDiCtJk	𰺨
辛戊一口,SxMuDiKk	𰺩
辛冂人,SxSxJkHr	𰺪
辛〢灬,SxNbWjRh	𰺫
一辛,DiIbSx	𰺬
辰人云,ScHrZy	𰺭
彡龰卜,FsLiFb	𰺮
卄辶,ZcJc	𰺯
一儿辶,DiReJc	𰺰
巾辶,AjJc	𰺱
ㄋ辶,AeFsJc	𰺲
弓辶,CgJc	𰺳
匚儿辶,VkReJc	𰺴
彡龰止,FsLiLi	𰺵
瓜辶,SgJc	𰺶
一儿辶,AgDiReJc	𰺷
扌丿七辶,OsTpCqJc	𰺸
囗𬺰丿辶,AkPsTpJc	𰺹
⺁辶,UcQiJc	𰺺
士心辶,JsLxJc	𰺻
彡龰豕,FsLiHs	𰺼
丶艮辶,OdPgJc	𰺽
大日乚辶,IdUrAeJc	𰺾
一由厶辶,DiUyIsJc	𰺿
土土卜辶,EtEtFbJc	𰻀
𠕁辶,YcNbJc	𰻁
日火辶,UrRhJc	𰻂
爫冖又辶,IaGgTyJc	𰻃
月辶,OsFyJc	𰻄
立口辶,XlKkJc	𰻅
卅冖巾辶,QsGgAjJc	𰻆
𠂉日夂辶,StUrJiJc	𰻇
彡龰千里,FsLiNqAl	𰻈
亼口心辶,ZiKkLxJc	𰻉
高辶,QgJc	𰻊
米斤辶,FmSjJc	𰻋
聿氺辶,IvMsJc	𰻌
艹聿辶,ZcIvJc	𰻍
木人人土辶,YmHrHrJc	𰻎
山侖辶,UsFlJc	𰻏
田艹辶,CtZcOsJc	𰻐
亻口{双口}辶,HrKkPxJc	𰻑
大口{双口}辶,IdKkPxJc	𰻒
立夂丰辶,XlJiJfJc	𰻓
方𠂉羊辶,MfStSyJc	𰻔
肀片爿一辶,IvJpJpJc	𰻕
王廾米辶,RwZcFmJc	𰻖
艹土羊辶,ZcEtSyJc	𰻗
丿冂丿米大辶,TpJkTpJc	𰻘
斤辶廿㇗木,SjJcPnYm	𰻙
丿口羊辶,WjTpKkJc	𰻚
豕耂日辶,HsRlUrJc	𰻛
口小辶,QgKkQgJc	𰻜
穴言幺幺马长长月刂心辶,AxDyDyJc	𰻝
穴言幺幺馬長長月刂心辶,AxDyDyJc	𰻞
阝,KkXe	𰻟
巳阝,VsXe	𰻠
无阝,CuXe	𰻡
一⺊ㄅ阝,DiFbAeXe	𰻢
一口巴,DiMcKkBb	𰻣
止阝,LiXe	𰻤
亻阝,HrWbXe	𰻥
丶力丶阝,OdClOdXe	𰻦
古口巴,OgKkBb	𰻧
小阝,CqIxXe	𰻨
山山口巴,UsUsKkBb	𰻩
耂巾阝,RlAjXe	𰻪
勹田阝,AkCtXe	𰻫
宀二儿阝,GgNeReXe	𰻬
禾子阝,BhHiXe	𰻭
鸟木阝,OnYmXe	𰻮
小阝,QgIxXe	𰻯
尸土厶阝,FsEtIsXe	𰻰
弓石口巴,CgDsKkBb	𰻱
匚山王阝,VkUsRwXe	𰻲
弗贝阝,XfVbXe	𰻳
王囗口阝,RwAkKkXe	𰻴
罒日乚阝,BsUrAeXe	𰻵
山⺊册阝,UsFbYcXe	𰻶
⺁彐𠃌殳口巴,UcWjAeBb	𰻷
𠃌阝艮,AeOsXePg	𰻸
⺈田日阝,DdCtUrXe	𰻹
宀心丿山阝,GgLxTpXe	𰻺
宀火火阝,GgRhRhXe	𰻻
木木日阝,YmYmUrXe	𰻼
广田用阝,BgCtGyXe	𰻽
罒㇗非阝,BsAeLfXe	𰻾
禾人氺口巴,BhHrMsBb	𰻿
𠂒儿𠂒儿曰阝,XnReXnXe	𰼀
子耂日口巴,QgHiRlBb	𰼁
⻗{双口}口工口{双口}阝,XvPxKkXe	𰼂
酉⺊一,ByFbDi	𰼃
酉丿廾,ByTpZc	𰼄
酉又,ByTyOs	𰼅
女又酉,WnTyBy	𰼆
酉穴又,ByAxTy	𰼇
酉𠃌阝,ByAeOsXe	𰼈
酉厶小又,ByIsIxTy	𰼉
酉戈口一,ByAgKkDi	𰼊
酉艹冖力,ByZcGgCl	𰼋
酉非,ByLf	𰼌
丷酉戈幺,NbByAgDy	𰼍
酉厶八⺌又,ByIsNbTy	𰼎
酉〢皿,ByNdJuHm	𰼏
酉𠂇⺝皿,ByPsFyHm	𰼐
酉艹两,ByZcZl	𰼑
酉非一𬺰,ByLfDiPs	𰼒
酉夫夫日,ByGfGfUr	𰼓
酉糹士口,ByFsJsKk	𰼔
酉覀寸,ByUxPgOc	𰼕
酉宀丿米田,ByGgTpCt	𰼖
丿米井,TpFmVj	𰼗
里ヿ,AlAe	𰼘
里勹冫,AlAkGb	𰼙
扌攵厂里,OsApUcAl	𰼚
未丷力里,VwNbClAl	𰼛
千里冖又,NqAlWjTy	𰼜
里音,AlWy	𰼝
千里金,NqAlWj	𰼞
金口,WjKk	𰼟
釒飞,WjFf	𰼠
八刀金,NbNdWj	𰼡
釒八乂,WjNbEi	𰼢
釒宀一,WjGgDi	𰼣
釒一木,WjDiYm	𰼤
釒⺊尸,WjFbFs	𰼥
釒又丶,WjMcTyOd	𰼦
釒{凬字心}一,WjScDi	𰼧
釒小大,WjIxId	𰼨
夕弋金,VxXiWj	𰼩
厶牛金,IsXnWj	𰼪
厶厶厶金,IsIsIsWj	𰼫
釒乛水一,WjAeMsDi	𰼬
釒寸辶,WjOcJc	𰼭
釒囗木,WjAkYm	𰼮
釒𠂉一止,WjStDiLi	𰼯
釒⺈用,WjDdGy	𰼰
釒白十,WjJbPs	𰼱
釒勹田,WjAkCt	𰼲
釒亼⺍一,WjZiMsDi	𰼳
釒𠃌阝,WjAeOsXe	𰼴
歹戈金,SdAgWj	𰼵
木冂刂金,YmJkNdWj	𰼶
扌立金,OsXlWj	𰼷
釒日文,WjUrLw	𰼸
釒囗夂゛,WjAkJiGb	𰼹
釒田廾,WjCtZc	𰼺
ス工金,XcTyLgWj	𰼻
金一一木,WjDiMcYm	𰼼
木目金,YmEmWj	𰼽
釒由⺝,WjUyFy	𰼾
釒⺁一口土,WjUcDiEt	𰼿
釒亽ヿ口刂,WjZiAeNd	𰽀
釒古攵,WjOgAp	𰽁
釒夂㐄辶,WjJiLkJc	𰽂
釒冫人⺝,WjGbGbFy	𰽃
釒小丿曰小,WjIxTpIx	𰽄
釒亠㐅凵禸,WjLtEiAr	𰽅
釒十目㇗心,WjPsEmLx	𰽆
釒扌日疋,WjOsUrEs	𰽇
工頁金,LgWyWj	𰽈
金龷日六,WjPnUrMl	𰽉
釒歹刂衣,WjSdNdQi	𰽊
釒宀日疋,WjGgUrEs	𰽋
釒小尤,WjQgIxVy	𰽌
釒田⽱辶,WjCtArJc	𰽍
釒馬又又,WjNmTyTy	𰽎
釒艹氵甫,WjZcMsBf	𰽏
釒匕日,WjSsWbUr	𰽐
辛金辛,SxWjSx	𰽑
釒⺈冂八目夂,WjDdJkJi	𰽒
釒冂一口冖見,WjYjJkDj	𰽓
金音儿金音儿金音儿金音儿,WjWyReRe	𰽔
钅几,PjQj	𰽕
钅力,PjCl	𰽖
钅一𬺰,PjDiPs	𰽗
钅大,PjId	𰽘
钅⺊一,PjFbDi	𰽙
钅广,PjBg	𰽚
钅小,PjIx	𰽛
钅匚㐅,PjVkEi	𰽜
钅厂力,PjUcCl	𰽝
钅厂⺋,PjUcWj	𰽞
钅井,PjVj	𰽟
钅止,PjLi	𰽠
钅日,PjUr	𰽡
钅见,PjKj	𰽢
钅弓丨,PjCgHs	𰽣
钅人,PjVkHr	𰽤
钅一冂人,PjDiJkHr	𰽥
钅龙,PjVl	𰽦
钅不一,PjRbDi	𰽧
钅口八,PjKkNb	𰽨
钅⺊一卜,PjFbDiFb	𰽩
钅人工,PjHrLg	𰽪
钅生,PjIs	𰽫
钅禾,PjBh	𰽬
钅句,PjEj	𰽭
钅亻寸,PjHrOc	𰽮
钅丶王,PjOdRw	𰽯
钅丷,PjNbOs	𰽰
钅弗,PjXf	𰽱
钅士口,PjJsKk	𰽲
钅页,PjQy	𰽳
钅大二ㄅ,PjIdNeAe	𰽴
钅光,PjWg	𰽵
钅虫,PjVc	𰽶
钅山夕,PjUsVx	𰽷
钅⺁,PjUcQi	𰽸
钅夕夕,PjVxVx	𰽹
钅⺈厂⺋,PjDdUcWj	𰽺
钅亻丿士,PjHrTpJs	𰽻
钅䒑廾,PjNbZc	𰽼
钅羊,PjSy	𰽽
钅寸辶,PjOcJc	𰽾
钅耳乚,PjVeAe	𰽿
钅十冖子,PjPsGgHi	𰾀
钅工水,PjLgMs	𰾁
钅十冂大,PjPsJkId	𰾂
钅足,PjIu	𰾃
钅𠂉母,PjStPm	𰾄
钅亽ヿ口,PjZiAeKk	𰾅
钅谷,PjYg	𰾆
钅一大口,PjDiIdKk	𰾇
钅氵小丿,PjMsIxTp	𰾈
钅冖八干,PjGgNbZg	𰾉
钅丿,PjTpKl	𰾊
钅广车,PjBgXc	𰾋
钅斤,PjXcSj	𰾌
钅龶𧘇,PjJfQi	𰾍
钅白丿十,PjJbTpPs	𰾎
钅勹缶,PjAkTf	𰾏
钅非,PjLf	𰾐
钅金,PjWj	𰾑
钅宀㠯,PjGgTi	𰾒
钅水日,PjMsUr	𰾓
钅戊𠃌土,PjMuAeEt	𰾔
钅廿㇗木,PjPnAeYm	𰾕
钅𠂇工月,PjPsLgFy	𰾖
钅戊一口,PjMuDiKk	𰾗
钅㇗,PjFgNbAe	𰾘
钅田⽱,PjCtAr	𰾙
钅田一,PjCtDiQi	𰾚
钅田人,PjCtHrNd	𰾛
钅山而,PjUsKe	𰾜
钅日生,PjUrIs	𰾝
钅㐅凵八夂,PjEiJkJi	𰾞
钅𠂉日夂,PjStUrJi	𰾟
钅儿゛,PjAtReGb	𰾠
钅勹言,PjAkDy	𰾡
钅方𠂉也,PjMfStEy	𰾢
钅尸至,PjFsGi	𰾣
钅二コ又,PjFsNeTy	𰾤
钅癶一大,PjNbDiId	𰾥
钅彑,PjWjHs	𰾦
钅敖,PjQa	𰾧
钅井王冂,PjVjRwJk	𰾨
钅土厶皿,PjEtIsHm	𰾩
钅一业心,PjDiOyLx	𰾪
钅〢皿,PjNdJuHm	𰾫
钅⺜羽,PjUrWv	𰾬
钅爫冖𠂇又,PjIaGgTy	𰾭
钅䒑,PjNbWjRh	𰾮
钅广肀口,PjBgIvKk	𰾯
钅山隹,PjUsMi	𰾰
钅丿心,PjTpKlLx	𰾱
钅鹿,PjIl	𰾲
钅ヿ耳攵,PjAeVeAp	𰾳
钅斤,PjFgNbSj	𰾴
钅古辛,PjOgSx	𰾵
钅十田心,PjPsCtLx	𰾶
钅旡旡曰,PjCuCuUy	𰾷
钅目,PjEmJpJp	𰾸
钅隹,PjMiJk	𰾹
钅丿囗米一ㄅ,PjTpAkAe	𰾺
钅丷酉大,PjNbById	𰾻
钅巳巳龷八,PjVsVsNb	𰾼
钅尸丿口⽱,PjFsTpAr	𰾽
钅十冂犬,PjPsJkAq	𰾾
钅艹曰勹亾,PjZcUyNw	𰾿
