㐀	21{卢字头}1
㟊	山爫子
㟋	山丷口儿
㟌	山尤彡
㟍	山4艮
㟎	山爫女
㟏	山亽5口
㟐	山艹亡
㟑	山十冖子
㟒	山{聿三}3口
㟓	山乂{左字框}巾
㟔	山亽5口
㟕	山口斗
㟖	山王廾
㟗	山八刀刀
㟘	山{周字框}土口
㟙	山龷日
㟚	木支山
㟛	山扌甘
㟜	山弓{尔字头}小
㟝	山立口
㟞	山戈戈
㟟	山龷八巳
㟠	山冂䒑山
㟡	山丷夫㔾
㟢	山大可
㟣	山木八厶
㟤	山{录字头}氺
㟥	山厶大彡
㟦	山冖車
㟧	山吅二5
㟨	山山而
㟩	民攵山
㟪	山田1{畏字底}
㟫	山白水
㟬	山臼2又
㟭	山民日
㟮	山穴犬
㟯	山宀各
㟰	山冖日六
㟱	山{美字头}灬
㟲	山厂白小
㟳	山覀木
㟴	山鬼
㟵	山罒1{止变}
㟶	山厂白小
㟷	山艹亼口
㟸	山白大十
㟹	山耳卯
㟺	山口十女
㟻	車斤山
㟼	山敖
㟽	山覀示
㟾	山广肀{甬字底}
㟿	山艹犬廾
㠀	鳥山
㠁	山厶厶彡
㠂	山敖
㠃	山{立无横}冂古
㠄	山羽白
㠅	山彳{卧人}夂
㠆	山吅田十
㠇	山{享字头}小尤
㠈	山門王
㠉	山立里
㠊	山虍业
㠋	山口吅5
㠌	山{其字头无横}{共字底}欠
㠍	山隹木
㠎	山隹木
㠏	山艹干龷
㠐	山3大口
㠑	山罒非
㠒	山覀示刂
㠓	山艹冖豕
㠔	山辟
㠕	山阝鬼
㠖	山{美字头}3戈
㠗	山3冂大
㠘	山{臼裂}1八
㠙	山{亮字头}豕
㠚	山业{美字头}寸
㠛	山艹隹又
㠜	山匕矢疋
㠝	山夫夫貝
㠞	{微字框}王山
㠟	山禾{黎右角}氺
㠠	山虍田皿
㠡	山{衣框}馬
㠢	山鬼衣
㠣	山厂禾止
㠤	山{衣框}吅1
㠥	山田田土
㠦	山山丰豆
㠧	山麻非
㠨	山木乂寸
㠩	亾{荒字底}
㠪	1{卢字头}1
㠫	工几4夫
㠬	工口夫
㠭	工工工工
㠮	䒑业日工
㠯	㠯
㠰	力口己
㠱	己{其字头无横}{共字底}
㠲	巾匕
㠳	入巾
