㐀	21{卢字头}1
醺	酉千黑
醻	酉士5寸
醼	酉廿口灬
醽	酉{雨头}口口
醾	酉麻米
醿	酉麻糸
釀	酉{衣框}吅1
釁	{臼裂}冂1刀
釂	酉爫罒寸
釃	酉1{丽下角}鹿
釄	酉麻非
釅	酉吅厂攵
釆	3米
采	爫木
釈	3米尸4
釉	3米由
释	3米又{举字底}
釋	3米罒{南字心}
里	里
重	千里
野	里予
量	日1里
釐	未攵厂里
金	金
釒	金
釓	金5
釔	金6
釕	金了
釖	金刀
釗	金刂
釘	金丁
釙	金卜
釚	金九
釛	金力
釜	八乂{金字底}
針	金十
釞	金入
釟	金八
釠	金几
釡	八金
釢	金乃
釣	金勹4
釤	金彡
釥	金小
釦	金口
釧	金川
釨	金子
釩	金几4
釪	金1{于无横}
釫	金二5
釬	金干
釭	金工
釮	金{于无横}3
釯	金亡
釰	金刀4
釱	金大
釲	金巳
釳	金{卧人}6
釴	金弋
釵	金又4
釶	金也
釷	金土
釸	金夕
釹	金女
釺	金千
釻	金丸
釼	金刀4
釽	金爪
釾	金牙
釿	金斤
鈀	金巴
鈁	金方
鈂	金冖{见字底}
鈃	金1廾
鈄	金斗
鈅	金月
鈆	金八厶
鈇	金夫
鈈	金不
鈉	金冂人
鈊	金心
鈋	金亻{化字边}
鈌	金{候右角}人
鈍	金1{屯无横}
鈎	金勹厶
鈏	金弓2
鈐	金亽5
鈑	金{反字框}又
鈒	金及
鈓	金3士
鈔	金{少三}3
鈕	金5{里无日}
鈖	金八刀
鈗	金厶儿
鈘	金支
鈙	金攴
鈚	金{比字旁}匕
鈛	金戈
鈜	金{左字框}厶
鈝	金牛
鈞	金勹冫
鈟	金弓2
鈠	金殳
鈡	金口2
鈢	金木
鈣	金1{卢字头}5
鈤	金日
鈥	金火
鈦	金大4
鈧	金亠几
鈨	金二{见字底}
鈩	金户
鈪	金厂㔾
鈫	金文
鈬	金尸4
鈭	止匕金
鈮	金尸匕
鈯	金屮凵
鈰	金亠巾
鈱	金民
鈲	金瓜
鈳	金可
鈴	金亽龴
鈵	金1冂人
鈶	金厶口
鈷	金古
鈸	金{左字框}又4
鈹	金皮
鈺	金王4
鈻	金㠯
鈼	金乍
鈽	金{左字框}巾
鈾	金由
鈿	金田
鉀	金甲
鉁	金{全字头}彡
鉂	金口㐅
鉃	金矢
鉄	金3夫
鉅	金匚{叚右角}
鉆	金{卢字头}口
鉇	金{卧人}也
鉈	金宀匕
鉉	金亠幺
鉊	金刀口
鉋	金勹巳
鉌	金禾
鉍	金心3
鉎	金生
鉏	金且
鉐	金石
鉑	金白
鉒	金4王
鉓	金{卧人}巾
鉔	金匚巾
鉕	金匚口
鉖	金夂{冬字底}
鉗	金甘
鉘	金弗
鉙	金口八
鉚	金卯
鉛	金几口
鉜	金亻寸
鉝	金立
鉞	金戉
鉟	金不1
鉠	金{见二}大
鉡	金丷{举字底}
鉢	金木1
鉣	金土厶
鉤	金句
鉥	金木4
鉦	金1{止变}
鉧	金母
鉨	金{尔字头}小
鉩	金{全字头}小
鉪	金廿5
鉫	金力口
鉬	金目
鉭	金日1
鉮	金日2
鉯	金{以字旁}人
鉰	金51口
鉱	金广厶
鉲	金{卢字头}1卜
鉳	金{北字旁}匕
鉴	{临字旁}{临右角}金
鉵	金虫
鉶	金1廾刂
鉷	金龷八
鉸	金六乂
鉹	金夕夕
鉺	金耳
鉻	金各
鉼	金䒑廾
鉽	金弋工
鉾	金厶牛
鉿	金亼口
銀	金艮
銁	金勹日
銂	金{横三点}川
銃	金{充字头}儿
銄	金3冂口
銅	金冂1口
銆	金1白
銇	金耒
銈	金土土
銉	金聿
銊	金戊1
銋	金亻3士
銌	金{左字框}2子
銍	金至
銎	工几4金
銏	金册
銐	歹刂金
銑	金{告字头}儿
銒	金1{左字框}干
銓	金{全字头}王
銔	金不十
銕	金{大框}弓
銖	金3未
銗	金{反字框}1口
銘	金夕口
銙	金大二5
銚	金{见字底}冫{飞无折}
銛	金舌
銜	行金
銝	金亻木
銞	勹日金
銟	金山巾
銠	金老
銡	金士口
銢	金二水
銣	金女口
銤	金米
銥	金衣
銦	金囗大
銧	金光
銨	金宀女
銩	金3土厶
銪	金{左字框}{青字底}
銫	金{负字头}巴
銬	金耂15
銭	金戈二
銮	亠{变字头无亠}金
銯	金糸
銰	金艹乂
銱	金口巾
銲	金日干
銳	金八口儿
銴	扌斤金
銵	金身
銶	金1氺4
銷	金{尚字头}{青字底}
銸	金耳5
銹	金禾乃
銺	爿士金
銻	金丷{弟省}
銼	金人人土
銽	金氏口
銾	金工水
銿	金龴{甬字底}
鋀	金豆
鋁	金口口
鋂	金{卧人}母
鋃	金4艮
鋄	金1火又
鋅	金辛
鋆	土勹冫金
鋇	金貝
鋈	氵3大金
鋉	金束
鋊	金谷
鋋	金3{延字心无撇}廴
鋌	金3士廴
鋍	金十冖子
鋎	金宀二{见字底}
鋏	金大人人
鋐	金宀{左字框}厶
鋑	金厶八夂
鋒	金夂丰
鋓	金禾刂
鋔	金{免五}{见字底}
鋕	金士心
鋖	金爫女
鋗	金口{青字底}
鋘	金口1大
鋙	金五口
鋚	亻2攵金
鋛	金口口2
鋜	金足
鋝	金爫寸
鋞	金1巛工
鋟	金彐冖又
鋠	金辰
鋡	金亽5口
鋢	金爫子
鋣	金牙阝
鋤	金且力
鋥	金口王
鋦	金尸5口
鋧	金見
鋨	金3扌戈
鋩	金艹亡
鋪	金甫
鋫	禾刂金
鋬	扌{反字框}又金
鋭	金丷口儿
鋮	金戊5
鋯	金{告字头}口
鋰	金里
鋱	金弋心
鋲	金{丘无横}{共字底}
鋳	金{寿字头}寸
鋴	金古{见字底}
鋵	金禾几
鋶	金{充字头}{荒字底}
鋷	金耳又
鋸	金尸古
鋹	金{镸无厶}{畏字底}
鋺	金宀夕㔾
鋻	臣又金
鋼	金冂䒑山
鋽	金{卢字头}日十
鋾	金勹缶
鋿	金尚
錀	金侖
錁	金田木
錂	金土八夂
錃	氵皮金
錄	金彑氺
錅	禾{黎右角}金
錆	金龶{青字底}
錇	金立口
錈	金丷夫㔾
錉	金氏日
錊	金亠人十
錋	金月月
錌	金山厂干
錍	金白3十
錎	金{负字头}臼
錏	金三22
錐	金隹
錑	金户犬
錒	金阝可
錓	金{差字头}5
錔	金水日
錕	金日{比字旁}匕
錖	{卢字头}1小金
錗	金禾女
錘	金千艹士
錙	金巛田
錚	金{尔字头}{争字底}
錛	金大十廾
錜	金亽5心
錝	金宀示
錞	金{享字头}子
錟	金火火
錠	金宀{定字底}
錡	金大可
錢	金戈戈
錣	金又又又
錤	金{其字头无横}{共字底}
錥	金{充字头}{青字底}
錦	金白巾
錧	金宀㠯
錨	金艹田
錩	金日日
錪	金{典字头}{共字底}
錫	金日勹{横两撇}
錬	金束1
錭	金{周字框}土口
錮	金囗古
錯	金龷日
錰	金木灬
錱	金王王
録	金{录字头}氺
錳	金子皿
錴	金土八土
錵	金艹亻{化字边}
錶	金龶{衣省}
錷	金車5
錸	金{木框}人人
錹	金止{青字底}
錺	金艹方
錻	金1弋止
錼	金大示
錽	金1火夂
錾	{车旁}斤金
錿	金虎
鍀	金日1寸
鍁	金斤欠
鍂	金金
鍃	金勹{横两撇}心
鍄	金{享字头}小
鍅	金氵土厶
鍆	金門
鍇	金{比字旁}匕白
鍈	金艹{见二}大
鍉	金日{定字底}
鍊	金束丷
鍋	金咼
鍌	氵{告字头}儿金
鍍	金广廿又
鍎	金{反字框}十目
鍏	金韋
鍐	金乂凵夂
鍑	金{卧人}日夂
鍒	金予3木
鍓	金口耳
鍔	金吅二5
鍕	金冖車
鍖	金{其字头无横}{共字底}5
鍗	金{立无横}冖巾
鍘	金貝刂
鍙	氵龷八金
鍚	金日1{横两撇}
鍛	金{段字旁无横}1殳
鍜	金{叚字旁无二}二又
鍝	金田{禺下}
鍞	金{卢字头}貝
鍟	金日生
鍠	金白王
鍡	金田1{畏字底}
鍢	金1口田
鍣	金艹刀口
鍤	金千臼
鍥	金丰刀大
鍦	金方{卧人}也
鍧	金勹言
鍨	金癶1大
鍩	金艹{左字框}口
鍪	予3攵金
鍫	禾火金
鍬	金禾火
鍭	金亻{候右角}矢
鍮	金亼{青字底}刂
鍯	金勹{横两撇}心
鍰	金爫1又
鍱	金廿5木
鍲	金民日
鍳	臣{临右角}金
鍴	金山而
鍵	金聿廴
鍶	金田心
鍷	金大土土
鍸	金古月
鍹	金宀11
鍺	金耂日
鍻	金日勹亾
鍼	金戊1口
鍽	金户{扁字心}
鍾	金千里
鍿	金1巛田
鎀	金亻2彡
鎁	金耳阝
鎂	金{美字头}大
鎃	金氵{反字框}{旅下角}
鎄	金{衣框}口
鎅	金田{全字头}{乔字底}
鎆	金䒑{青字底}刂
鎇	金{眉字框}目
鎈	金{差字头}工
鎉	金日羽
鎊	金{立无横}冖方
鎋	金宀丰口
鎌	金䒑{聿三}{兼无䒑无彐}
鎍	金十冖糸
鎎	金气米
鎏	氵{充字头}{荒字底}金
鎐	金爫缶
鎑	金土厶皿
鎒	金辰寸
鎓	金八厶羽
鎔	金宀谷
鎕	金广肀口
鎖	金{尚字头}貝
鎗	金亽尸口
鎘	金鬲
鎙	金䒑䶹月
鎚	金3㠯辶
鎛	金甫寸
鎜	舟殳金
鎝	金艹亼口
鎞	金3囗匕
鎟	金又又木
鎠	金罒1{止变}
鎡	金䒑幺幺
鎢	金烏
鎣	火火冖金
鎤	金日光
鎥	亻2夂金
鎦	金{留字头}田
鎧	金山豆
鎨	金隹十
鎩	金乂朩殳
鎪	金臼2又
鎫	金3冂夂
鎬	金高
鎭	金匕目八
鎮	金十{具字头无横}{共字底}
鎯	金4{即字旁}阝
鎰	金{益字头}皿
鎱	金土口{衣省}
鎲	金{尚头}儿
鎳	金自木
鎴	金自心
鎵	金宀豕
鎶	金可可
鎷	金馬
鎸	金隹乃
鎹	金䒑大辶
鎺	金礻且
鎻	金巛貝
鎼	金虍手
鎽	金山夂丰
鎾	金日皿
鎿	金亼口手
鏀	金{卢字头}{鹵字底}
鏁	金巛田木
鏂	金匚口吅
鏃	金方{卧人}矢
鏄	金{凬字心}{虫无口}寸
鏅	金亻2{青字底}
鏆	金毌貝
鏇	金方{卧人}疋
鏈	金車辶
鏉	金束欠
鏊	敖金
鏋	金廿巾入
鏌	金艹日大
鏍	金田糸
鏎	金日龷十
鏏	金丰丰彐
鏐	金羽{全字头}彡
鏑	金{立无横}冂古
鏒	金厶厶彡
鏓	金3囗心
鏔	金宀1八
鏕	金鹿
鏖	鹿金
鏗	金臣又土
鏘	金爿{然左角}寸
鏙	金山隹
鏚	金戊{卢字头}小
鏛	金{尚头}巾
鏜	金{尚头}土
鏝	金日罒又
鏞	金广肀{甬字底}
鏟	金{立无横}厂生
鏠	金夂丰辶
鏡	金音儿
鏢	金覀示
鏣	金广廿灬
鏤	金口十女
鏥	金宀亻白
鏦	金彳人龰
鏧	士{眉字框}殳金
鏨	車斤金
鏩	金車斤
鏪	金1曲日
鏫	金禾刂木
鏬	金虍3{于无横}
鏭	金3米心
鏮	金广{聿三}氺
鏯	金{大框}乂乂
鏰	金山月月
鏱	金音十
鏲	金亠幺牛
鏳	金丷囗日
鏴	金{足旁}各
鏵	金艹干龷
鏶	金隹木
鏷	金业{差字头}4
鏸	金{凬字心}{虫无口}心
鏹	金弓口虫
鏺	金癶弓殳
鏻	金米夕㐄
鏼	金{竹头}{木框}冂
鏽	金肀{乔字底}5
鏾	金龷{青字底}攵
鏿	金{尚头}木
鐀	金{贵字头}貝
鐁	金{其字头无横}{共字底}斤
鐂	金1{临字旁}田
鐃	金土土{见字底}
鐄	金黄
鐅	㡀攵金
鐆	阝䒑{豕省}金
鐇	金3米田
鐈	金3大口
鐉	金巳巳八
鐊	金阝日{横两撇}
鐋	金氵日{横两撇}
鐌	金象
鐍	金予3口
鐎	金隹灬
鐏	金丷酉寸
鐐	金大丷小
鐑	金糹士口
鐒	金火火力
鐓	金{享字头}子攵
鐔	金覀日十
鐕	金旡旡日
鐖	金幺幺人
鐗	金門月
鐘	金立里
鐙	金癶豆
鐚	金三2心
鐛	金日{享字头}小
鐜	{享字头}子攵金
鐝	金厂䒑欠
鐞	金彐工寸
鐟	金夫夫日
鐠	金䒑业日
鐡	金十戈䒑
鐢	木乂乂金
鐣	金{尚头}手
鐤	金目{鼎左角}{鼎右角}
鐥	金羊䒑口
鐦	金門1廾
鐧	金門日
鐨	金弗貝
鐩	金䒑{豕省}辶
鐪	金虍田力
鐫	金隹2冂
鐬	金止戊{步字底}
鐭	金3冂大
鐮	金广䒑{兼无䒑无彐}
鐯	金艹耂日
鐰	金口吅木
鐱	金僉
鐲	金罒勹虫
鐳	金{雨头}田
鐴	金辟
鐵	金十戈王
鐶	金罒1{衣省}
鐷	金艹廿木
鐸	金罒土{南字心}
鐹	金咼辶
鐺	金{尚头}田
鐻	金虍豕
鐼	金十艹貝
鐽	金土羊辶
鐾	辟金
鐿	金音心
鑀	金爫冖夂
鑁	金{鬯字头无凵}凵夂
鑂	金千黑
鑃	金羽隹
鑄	金士5寸
鑅	金火火木
鑆	金业{美字头}寸
鑇	金亠丷二
鑈	金1八乂
鑉	金艹土皿
鑊	金艹隹又
鑋	車1巛金
鑌	金宀1貝
鑍	貝貝金
鑎	金匚{贵字头}貝
鑏	金宀心丁
鑐	金{雨头}而
鑑	金臣{临右角}皿
鑒	臣{临右角}罒金
鑓	金{贵字头}㠯辶
鑔	金宀{祭字头}示
鑕	金斤斤貝
鑖	金艹罒4
鑗	金禾{黎右角}氺
鑘	金田田田
鑙	金禾尤日
鑚	金夫夫貝
鑛	金广黄
鑜	金{尚头}貝
鑝	金艹夂辶
鑞	金巛{巤字底}
鑟	金士罒貝
鑠	金白幺木
鑡	金齒
鑢	金虍田心
鑣	金鹿灬
鑤	金日龷氺
鑥	金魚日
鑦	金臣又貝
鑧	金宀艹4
鑨	金立{青字底}{龍字边}
鑩	金{噩字框}吅吅
鑪	金虍田皿
鑫	金金金
鑬	金臣{临右角}見
鑭	金門束丷
鑮	金艹氵寸
鑯	金人人1
鑰	金侖口口
鑱	金{免五}{比字旁}兔
鑲	金{衣框}吅1
鑳	金宀{寒字腰无横}足
鑴	金山隹口
鑵	金艹吅隹
鑶	金艹{臧字框}臣
鑷	金耳耳耳
鑸	金田田土
鑹	金穴鼠
鑺	金目目隹
鑻	金木乂手
鑼	金罒糹隹
鑽	金{告字头}儿貝
鑾	言糹糹金
鑿	业{南字心}臼金
钀	金虍鬲犬
钁	金目目又
钂	金{尚头}黑
钃	金尸2虫
钄	金艹門丷
钅	钅
钆	钅5
钇	钅6
针	钅十
钉	钅丁
钊	钅刂
钋	钅卜
钌	钅了
钍	钅土
钎	钅千
钏	钅川
钐	钅彡
钑	钅及
钒	钅几4
钓	钅勹4
钔	钅门
钕	钅女
钖	钅5{横两撇}
钗	钅又4
钘	钅1廾
钙	钅1{卢字头}5
钚	钅不
钛	钅大4
钜	钅匚{叚右角}
钝	钅1{屯无横}
钞	钅{少三}3
钟	钅口2
钠	钅冂人
钡	钅贝
钢	钅冂乂
钣	钅{反字框}又
钤	钅亽5
钥	钅月
钦	钅欠
钧	钅勹冫
钨	钅乌
钩	钅勹厶
钪	钅亠几
钫	钅方
钬	钅火
钭	钅斗
钮	钅5{里无日}
钯	钅巴
钰	钅王4
钱	钅1戈
钲	钅1{止变}
钳	钅甘
钴	钅古
钵	钅木1
钶	钅可
钷	钅匚口
钸	钅{左字框}巾
钹	钅{左字框}又4
钺	钅戉
钻	钅{卢字头}口
钼	钅目
钽	钅日1
钾	钅甲
钿	钅田
铀	钅由
铁	钅3夫
铂	钅白
铃	钅亽龴
铄	钅{乐二}小
铅	钅几口
铆	钅卯
铇	钅勹巳
铈	钅亠巾
铉	钅亠幺
铊	钅宀匕
铋	钅心3
铌	钅尸匕
铍	钅皮
铎	钅又{举字底}
铏	钅1廾刂
铐	钅耂15
铑	钅老
铒	钅耳
铓	钅艹亡
铔	钅1业
铕	钅{左字框}{青字底}
铖	钅戊5
铗	钅夫丷
铘	钅牙阝
铙	钅{尧字头}1{见字底}
铚	钅至
铛	钅{尚字头}彐
铜	钅冂1口
铝	钅口口
铞	钅口巾
铟	钅囗大
铠	钅山己
铡	钅贝刂
铢	钅3未
铣	钅{告字头}儿
铤	钅3士廴
铥	钅3土厶
铦	钅舌
铧	钅亻{化字边}十
铨	钅{全字头}王
铩	钅乂朩
铪	钅亼口
铫	钅{见字底}冫{飞无折}
铬	钅各
铭	钅夕口
铮	钅{尔字头}{争字底}
铯	钅{负字头}巴
铰	钅六乂
铱	钅衣
铲	钅{立无横}厂
铳	钅{充字头}儿
铴	钅氵5{横两撇}
铵	钅宀女
银	钅艮
铷	钅女口
铸	钅{寿字头}寸
铹	钅艹冖力
铺	钅甫
铻	钅五口
铼	钅未丷
铽	钅弋心
链	钅车辶
铿	钅{临字旁}又土
销	钅{尚字头}{青字底}
锁	钅{尚字头}贝
锂	钅里
锃	钅口王
锄	钅且力
锅	钅口冂人
锆	钅{告字头}口
锇	钅3扌戈
锈	钅禾乃
锉	钅人人土
锊	钅爫寸
锋	钅夂丰
锌	钅辛
锍	钅{充字头}{荒字底}
锎	钅门1廾
锏	钅门日
锐	钅丷口儿
锑	钅丷{弟省}
锒	钅4艮
锓	钅彐冖又
锔	钅尸5口
锕	钅阝可
锖	钅龶{青字底}
锗	钅耂日
锘	钅艹{左字框}口
错	钅龷日
锚	钅艹田
锛	钅大十廾
锜	钅大可
锝	钅日1寸
锞	钅田木
锟	钅日{比字旁}匕
锠	钅日日
锡	钅日勹{横两撇}
锢	钅囗古
锣	钅罒夕
锤	钅千艹士
锥	钅隹
锦	钅白巾
锧	钅{反字框}十贝
锨	钅斤欠
锩	钅丷夫㔾
锪	钅勹{横两撇}心
锫	钅立口
锬	钅火火
锭	钅宀{定字底}
键	钅聿廴
锯	钅尸古
锰	钅子皿
锱	钅巛田
锲	钅丰刀大
锳	钅艹{见二}大
锴	钅{比字旁}匕白
锵	钅丬夕寸
锶	钅田心
锷	钅吅二5
锸	钅千臼
锹	钅禾火
锺	钅千里
锻	钅{段字旁无横}1殳
锼	钅臼2又
锽	钅白王
锾	钅爫1又
锿	钅{衣框}口
镀	钅广廿又
镁	钅{美字头}大
镂	钅米女
镃	钅䒑幺幺
镄	钅弗贝
镅	钅{眉字框}目
镆	钅艹日大
镇	钅十{具字头无横}{共字底}
镈	钅甫寸
镉	钅鬲
镊	钅耳又又
镋	钅{尚头}儿
镌	钅隹乃
镍	钅自木
镎	钅亼口手
镏	钅{留字头}田
镐	钅高
镑	钅{立无横}冖方
镒	钅{益字头}皿
镓	钅宀豕
镔	钅宀{丘无横}{共字底}
镕	钅宀谷
镖	钅覀示
镗	钅{尚头}土
镘	钅日罒又
镙	钅田糸
镚	钅山月月
镛	钅广肀{甬字底}
镜	钅音儿
镝	钅{立无横}冂古
镞	钅方{卧人}矢
镟	钅方{卧人}疋
镠	钅羽{全字头}彡
镡	钅覀日十
镢	钅厂䒑欠
镣	钅大丷小
镤	钅业{差字头}4
镥	钅鱼日
镦	钅{享字头}子攵
镧	钅门束丷
镨	钅䒑业日
镩	钅穴口2
镪	钅弓口虫
镫	钅癶豆
镬	钅艹隹又
镭	钅{雨头}田
镮	钅罒1{衣省}
镯	钅罒勹虫
镰	钅广䒑{兼无䒑无彐}
镱	钅音心
镲	钅宀{祭字头}示
镳	钅鹿灬
镴	钅巛{巤字底}
镵	钅{免五}{比字旁}兔
镶	钅{衣框}吅1
長	{镸无厶}{畏字底}
镸	镸
镹	镸{久二}4
镺	镸3大
镻	镸3夫
镼	镸尸屮凵
镽	镸大丷小
镾	镸1八乂
长	长
門	門
閁	門3
閂	門1
閃	門人
閄	門人
閅	門丁
閆	門三
閇	門1卜
閈	門干
閉	門{于无横}3
閊	門山
開	門1廾
閌	門亠几
閍	門方
閎	門{左字框}厶
閏	門王
閐	門毛
閑	門木
閒	門月
間	門日
閔	門文
閕	門牙
閖	門水
閗	門斗
閘	門甲
閙	門亠巾
閚	門立
閛	門干丷
閜	門可
閝	門亽龴
閞	門厶廾
閟	門心3
閠	門王4
閡	門亥
関	門䒑大
閣	門各
閤	門亼口
閥	門亻戈
閦	門{全字头}人人
閧	門龷八
閨	門土土
閩	門虫
閪	門西
閫	門囗木
閬	門4艮
閭	門口口
閮	門3士廴
閯	門氵{少三}3
閰	門臼
閱	門八口儿
閲	門丷口儿
閳	門車
閴	門貝
閵	門隹
閶	門日日
閷	乂朩門人
閸	門三22
閹	門大日5
閺	門日文
閻	門{负字头}臼
閼	門方{全字头}{冬字底}
閽	門氏日
閾	門戈口1
閿	門爫冖又
闀	門龷八巳
闁	門門
闂	門丷夫㔾
闃	門目犬
闄	門覀女
闅	門目攴
闆	門口吅
闇	門音
闈	門韋
闉	門覀土
闊	門氵舌
闋	門癶1大
闌	門束丷
闍	門耂日
闎	門白水
闏	門風
闐	門十{具字头无横}{共字底}
闑	門自木
闒	門日羽
闓	門山豆
闔	門土厶皿
闕	門䒑䶹欠
闖	門馬
闗	門幺幺灬
闘	門豆寸
闙	門户口攵
闚	門夫見
闛	門{尚头}土
關	門幺幺1
闝	門貝攵
闞	門5耳攵
闟	門亼口羽
闠	門{贵字头}貝
闡	門吅田十
闢	門辟
闣	門{尚头}田
闤	門罒1{衣省}
闥	門土羊辶
闦	門曲豆
闧	門土口辶
门	门
闩	门1
闪	门人
闫	门三
闬	门干
闭	门{于无横}3
问	门口
闯	门马
闰	门王
闱	门韦
闲	门木
闳	门{左字框}厶
间	门日
闵	门文
闶	门亠几
闷	门心
闸	门甲
闹	门亠巾
闺	门土土
闻	门耳
闼	门大辶
闽	门虫
闾	门口口
闿	门山己
阀	门亻戈
阁	门各
阂	门亥
阃	门囗木
阄	门龟
阅	门丷口儿
阆	门4艮
阇	门耂日
阈	门戈口1
阉	门大日5
阊	门日日
阋	门臼儿
阌	门爫冖又
阍	门氏日
阎	门{负字头}臼
阏	门方{全字头}{冬字底}
阐	门丷田十
阑	门束丷
阒	门目犬
阓	门{贵字头}贝
阔	门氵舌
阕	门癶1大
阖	门土厶皿
阗	门十{具字头无横}{共字底}
阘	门日羽
阙	门䒑䶹欠
阚	门5耳攵
阛	门罒1{衣省}
阜	3㠯十
阝	阝
阞	阝力
队	阝人
阠	阝5十
阡	阝千
阢	阝1{见字底}
阣	阝{卧人}6
阤	阝也
阥	阝水
阦	阝火
阧	阝斗
阨	阝厂㔾
阩	阝3廾
阪	阝{反字框}又
阫	阝不
阬	阝亠几
阭	阝厶儿
阮	阝二{见字底}
阯	阝止
阰	阝{比字旁}匕
阱	阝井
防	阝方
阳	阝日
阴	阝月
阵	阝车
阶	阝{全字头}{乔字底}
阷	阝1{止变}
阸	阝户6
阹	阝土厶
阺	阝氏4
阻	阝且
阼	阝乍
阽	阝{卢字头}口
阾	阝亽龴
阿	阝可
陀	阝宀匕
陁	阝{卧人}也
陂	阝皮
陃	阝1冂人
附	阝亻寸
际	阝示
陆	阝{举字底}凵
陇	阝龙
陈	阝{东二}小
陉	阝{经右角}工
陊	阝夕夕
陋	阝1冂5
陌	阝1白
降	阝夂㐄
陎	阝3未
陏	阝{左字框}{青字底}
限	阝艮
陑	阝而
陒	阝{负字头}厂㔾
陓	阝大二5
陔	阝亥
陕	阝夫丷
陖	阝厶八夂
陗	阝{尚字头}{青字底}
陘	阝1巛工
陙	阝辰
陚	阝1弋止
陛	阝{比字旁}匕土
陜	阝大人人
陝	阝大入入
陞	阝3廾土
陟	阝止{步字底}
陠	阝甫
陡	阝走
院	阝宀二{见字底}
陣	阝車
除	阝{全字头}{余字底}
陥	阝{负字头}2日
陦	阝{寿字头}寸
陧	阝日土
陨	阝口贝
险	阝亼{学字头}1
陪	阝立口
陫	阝非
陬	阝耳又
陭	阝大可
陮	阝隹
陯	阝侖
陰	阝亽5云
陱	阝勹米
陲	阝千艹士
陳	阝束1
陴	阝白3十
陵	阝土八夂
陶	阝勹缶
陷	阝{负字头}臼
陸	阝土八土
陹	阝3廾日
険	阝亼口人
陻	阝覀土
陼	阝耂日
陽	阝日1{横两撇}
陾	阝而大
陿	阝匚大人
隀	阝千里
隁	阝匚日女
隂	阝{全字头}镸
隃	阝亼{青字底}刂
隄	阝日{定字底}
隅	阝田{禺下}
隆	阝夂1生
隇	阝戊1女
隈	阝田1{畏字底}
隉	阝臼工
隊	阝䒑{豕省}
隋	阝{左字框}工{青字底}
隌	阝音
隍	阝白王
階	阝{比字旁}匕白
随	阝{左字框}{青字底}辶
隐	阝{负字头}彐心
隑	阝山豆
隒	阝䒑{聿三}{兼无䒑无彐}
隓	阝{左字框}工工
隔	阝鬲
隕	阝口貝
隖	阝烏
隗	阝鬼
隘	阝{益字头}皿
隙	阝小日小
隚	阝{尚头}土
際	阝{祭字头}示
障	阝音十
隝	阝鳥
隞	阝敖
隟	阝巛田木
隠	阝爫彐心
隡	阝{立无横}厂生
隢	阝土土{见字底}
隣	阝米夕㐄
隤	阝{贵字头}貝
隥	阝癶豆
隦	阝辟
隧	阝䒑{豕省}辶
隨	阝{左字框}工辶
隩	阝3冂大
險	阝僉
隫	阝十艹貝
隬	阝1八乂
隭	阝{雨头}而
隮	阝亠丷二
隯	阝士5寸
隰	阝日幺灬
隱	阝爫工心
隲	阝{少三}3馬
隳	阝{左字框}工{恭字底}
隴	阝立{青字底}{龍字边}
隵	阝虍豆戈
隶	{聿三}氺
隷	士示{聿三}氺
隸	木示{聿三}氺
隹	隹
隺	冖隹
隻	隹又
隼	隹十
隽	隹乃
难	又隹
隿	弋隹
雀	小隹
雁	厂亻隹
雂	亽5隹
雃	1廾隹
雄	{左字框}厶隹
雅	牙隹
集	隹木
雇	户隹
雈	21{卢字头}隹
雉	矢隹
雊	句隹
雋	隹25冂
雌	止{比字旁}隹
雍	亠乡隹
雎	且隹
雏	{负字头}彐隹
雐	虍隹
雑	九朩隹
雒	各隹
雓	{全字头}{余字底}隹
雔	隹隹
雕	{周字框}土口隹
雖	口虫隹
雗	十日十隹
雘	{周字框}亠艹又
雙	隹隹又
雚	艹吅隹
雛	勹䶹勹隹
雜	亠人人隹
雝	巛口巴隹
雞	爫幺大隹
雟	䶹隹冂口
雠	隹讠隹
雡	羽{全字头}彡隹
離	亠乂凵隹
難	廿口夫隹
雤	{臼裂}乂乂隹
雥	隹隹隹
雦	隹隹隹
雧	隹隹隹木
雨	雨
雩	{雨头}二5
雪	{雨头}彐
雫	{雨头}1卜
雬	{雨头}木
雭	{雨头}及
雮	{雨头}毛
雯	{雨头}文
雰	{雨头}八刀
雱	{雨头}方
雲	{雨头}云
雳	{雨头}厂力
雴	{雨头}立
雵	{雨头}{见二}大
零	{雨头}亽龴
雷	{雨头}田
雸	{雨头}甘
雹	{雨头}勹巳
雺	{雨头}予3
電	{雨头}日5
雼	{雨头}石
雽	{雨头}3丷{于无横}
雾	{雨头}夂力
雿	{雨头}{见字底}冫{飞无折}
需	{雨头}而
霁	{雨头}齐
霂	{雨头}氵木
霃	{雨头}氵冖{见字底}
霄	{雨头}{尚字头}{青字底}
霅	{雨头}言
霆	{雨头}3士廴
震	{雨头}辰
霈	{雨头}氵1巾
霉	{雨头}{卧人}母
霊	{雨头}11业
霋	{雨头}1{妻字头无横}女
霌	{雨头}{周字框}土口
霍	{雨头}隹
霎	{雨头}立女
霏	{雨头}非
霐	{雨头}氵弓厶
霑	{雨头}氵{卢字头}口
霒	{雨头}云亽5
霓	{雨头}臼儿
霔	{雨头}氵4王
霕	{雨头}云1{屯无横}
霖	{雨头}木木
霗	{雨头}氵亽龴
霘	{雨头}氵冂口
霙	{雨头}艹{见二}大
霚	{雨头}予3攵
霛	{雨头}弓弓弓
霜	{雨头}木目
