㔗	(弗力,XfCl,fèi_bèi_fú,CJK-A)
㔘	(屮凵力,McJkCl,chù,CJK-A)
㔙	(䒑廾力,NbZcCl,bēng,CJK-A)
㔚	(舌力,WsCl,jié,CJK-A)
㔛	(士口力,JsKkCl,0,CJK-A)
㔜	(爫子力,IaHiCl,bá,CJK-A)
㔝	({横类}巾入力,DiAjVuCl,liǎng_liáng,CJK-A)
㔞	(千{北字旁}匕力,NqJpWbCl,kuài,CJK-A)
㔟	(生丸力,IsLoCl,0,CJK-A)
㔠	(日勹亾力,UrAkNwCl,xiā_hé,CJK-A)
㔡	({撇类}囗乂力,TpAkEiCl,biē,CJK-A)
㔢	(糹{负字头}巴力,FsDdBbCl,jué_xuē,CJK-A)
㔣	(田田田力,CtCtCtCl,léi,CJK-A)
㔤	(宀{撇类}米力,GgTpFmCl,xìn,CJK-A)
㔥	(罒厶{青字底}力,BsIsFyCl,bài_pí,CJK-A)
㔦	({差字头}{捺、点类}{捺、点类}力,SyOdOdCl,yǎng,CJK-A)
㔧	(虍田皿力,ShCtHmCl,lǜ,CJK-A)
㔨	(勹{北字旁}匕{青字底},AkJpWbFy,bèi,CJK-A)
㔩	(勹土厶皿,AkEtIsHm,è,CJK-A)
㔪	(勹{卢字头}{鹵字底},AkFbKl,lǔ,CJK-A)
㔫	({左字框}匕,PsWb,0,CJK-A)
㔬	(匕日十,WbUrPs,0,CJK-A)
㔭	(匕日{定字底},WbUrEs,chè,CJK-A)
㔮	(廿口夫匕,PnKkGfWb,nuó,CJK-A)
㔯	(匚几口,VkQjKk,xuán_suǎn,CJK-A)
㔰	(匚夕卜,VkVxFb,héng,CJK-A)
㔱	(匚臼人,VkYjHr,yǔ,CJK-A)
㔲	(匚飠九,VkHsLj,0,CJK-A)
㔳	(匚飠几,VkHsQj,guǐ,CJK-A)
㔴	(匚田龷八,VkCtPnNb,yì,CJK-A)
㔵	(匚巳巳八,VkVsVsNb,xuǎn,CJK-A)
㔶	(匚音十貝,VkWyPsVb,gòng_gǎn,CJK-A)
㔷	(匚{横类}冂人,VkDiJkHr,lòu,CJK-A)
㔸	(匚{反字框}虎,VkUcSh,tī,CJK-A)
㔹	(十力,PsCl,lè,CJK-A)
㔺	(十十{折类},PsPsAe,shì,CJK-A)
㔻	(不十,RbPs,0,CJK-A)
㔼	(扌隹十,OsMiPs,sǔn,CJK-A)
㔽	({卢字头}囗口,FbAkKk,yào,CJK-A)
㔾	(㔾,Wj,xiān_jié,CJK-A)
㔿	({横类}丩,DiEj,zòu,CJK-A)
㕀	(由㔾,UyWj,0,CJK-A)
㕁	(乂{左字框}厶卩,EiPsIsWj,què,CJK-A)
㕂	(厂亽{折类},UcZiAe,yín_qín,CJK-A)
㕃	(厂{横类}廾,UcDiZc,xī,CJK-A)
㕄	(厂{横类}幺,UcDiDy,zhǐ,CJK-A)
㕅	(厂甲,UcHj,jiá,CJK-A)
㕆	(厂古,UcOg,hù,CJK-A)
㕇	(厂立,UcXl,lā,CJK-A)
㕈	(厂衣,UcQi,yǐ,CJK-A)
㕉	(厂亼口,UcZiKk,kè,CJK-A)
㕊	(厂甫,UcBf,fū,CJK-A)
㕋	(厂金,UcWj,qín,CJK-A)
㕌	(厂日{横类}寸,UcUrDiOc,ài,CJK-A)
㕍	(厂隹,UcMi,0,CJK-A)
㕎	(厂土厶皿,UcEtIsHm,kè,CJK-A)
㕏	(厂豆斗,UcGdLd,chú,CJK-A)
㕐	(厂臼勹灬,UcYjAkRh,xiě_xiè,CJK-A)
㕑	(厂壴寸,UcEuOc,chú,CJK-A)
㕒	(厂{美字头}{撇类}戈,UcSyTpAg,wēi,CJK-A)
㕓	(厂黑土,UcNhEt,0,CJK-A)
㕔	(厂耳王心,UcVeRwLx,0,CJK-A)
㕕	(厶厶,IsIs,huàn,CJK-A)
㕖	(厶厶厶木,IsIsIsYm,sù,CJK-A)
㕗	({美字头}{久二}{捺、点类}厶,SyDdOdIs,yòu,CJK-A)
㕘	(厶厶厶小,IsIsIsIx,0,CJK-A)
㕙	(厶八夂兔,IsNbJiAt,jùn,CJK-A)
㕚	(又{捺、点类}{捺、点类},TyOdOd,zhǎo,CJK-A)
㕛	(又又,TyTy,xù,CJK-A)
㕜	(口{竖类}又,KkHsTy,shǐ,CJK-A)
㕝	(古又,OgTy,0,CJK-A)
㕞	(尸巾又,FsAjTy,shuā,CJK-A)
㕟	({卢字头}{扁字心}又,FbYcTy,kuì_kuài,CJK-A)
㕠	(冫隹又,GbMiTy,shuāng,CJK-A)
㕡	({歺变}谷又,SdYgTy,hé,CJK-A)
㕢	({歺变}貝又,SdVbTy,gài_hài,CJK-A)
㕣	(八口,NbKk,yǎn,CJK-A)
㕤	(口九,KkLj,qiú,CJK-A)
㕥	(口人,KkHr,shēn,CJK-A)
㕦	(口大,KkId,huà,CJK-A)
㕧	(口尸,KkFs,xī,CJK-A)
㕨	(口几{捺、点类},KkQjOd,fàn,CJK-A)
㕩	(口丰,KkJf,pàng,CJK-A)
㕪	(口冖{见字底},KkGgRe,dǎn,CJK-A)
㕫	(口方,KkMf,fǎng_fēng,CJK-A)
㕬	(口八厶,KkNbIs,gōng_sòng,CJK-A)
㕭	(口{撇类}大,KkTpId,āo_ào,CJK-A)
㕮	(口八乂,KkNbEi,fǔ,CJK-A)
㕯	(冂人口,JkHrKk,nè,CJK-A)
㕰	(口毛,KkQm,xuè_ma,CJK-A)
㕱	(口尤,KkVy,yóu,CJK-A)
㕲	(口木,KkYm,huá_yíng,CJK-A)
㕳	(口乂凵,KkEiJk,0,CJK-A)
㕴	(口冖几,KkGgQj,chén,CJK-A)
㕵	(口王,KkRw,guó,CJK-A)
㕶	(口五,KkUu,ň_ňg,CJK-A)
㕷	(口白,KkJb,huà_pā,CJK-A)
㕸	(口立,KkXl,lì,CJK-A)
㕹	(口{左字框}又{捺、点类},KkPsTyOd,fá,CJK-A)
㕺	(吅{横类}{折类},PxDiAe,xiāo,CJK-A)
㕻	({捺、点类}不口,OdRbKk,pǒu,CJK-A)
㕼	(口勹乂{折类},KkAkEiAe,0,CJK-A)
㕽	(口{以字旁}人,KkWbHr,sì,CJK-A)
㕾	(小口匕,IxKkWb,0,CJK-A)
㕿	(禾口,BhKk,0,CJK-A)
㖀	(口聿,KkIv,lè,CJK-A)
㖁	(口乂{左字框}厶,KkEiPsIs,lìn,CJK-A)
㖂	(口日{折类}{撇类},KkUrAeTp,yì,CJK-A)
㖃	(口{反字框}{横类}口,KkUcDiKk,hǒu_hòu,CJK-A)
㖄	(口{横三点}川,KkKcKc,0,CJK-A)
㖅	(口戊{横类},KkMuDi,xù,CJK-A)
㖆	(口曲,KkEq,qú,CJK-A)
㖇	(口而,KkKe,ér,CJK-A)
㖈	(老口,RlKk,0,CJK-A)
㖉	(口{全字头}止,KkHrLi,0,CJK-A)
㖊	(口彐寸,KkWjOc,xún,CJK-A)
㖋	({全字头}{乔字底}口匕,HrNdKkWb,0,CJK-A)
㖌	(亻九口匕,HrLjKkWb,0,CJK-A)
㖍	(斗口匕,LdKkWb,0,CJK-A)
㖎	(口匕{全字头}{乔字底},KkWbHrNd,0,CJK-A)
㖏	(口日土,KkUrEt,niè,CJK-A)
