㖷	[口日{定字底},shí_tí,CJK-A]
㖸	[口虍{虐字底},xué_niā,CJK-A]
㖹	[口八刀皿,pēn_fèn,CJK-A]
㖺	[口{寿字头}{捺、点类}日,chǔn,CJK-A]
㖻	[口予{撇类}木,niú_ròu,CJK-A]
㖼	[口甘木,duǒ,CJK-A]
㖽	[口頁,zé,CJK-A]
㖾	[吅䒑䶹,è,CJK-A]
㖿	[口耳阝,xié_yé,CJK-A]
㗀	[口山幺幺,yōu,CJK-A]
㗁	[口吅二{折类},è,CJK-A]
㗂	[口{少三}{撇类}目,shěng,CJK-A]
㗃	[口民日,wěn_hūn,CJK-A]
㗄	[口罒方,kū,CJK-A]
㗅	[口古月,hú,CJK-A]
㗆	[口革,gé,CJK-A]
㗇	[口{叚字旁无二}二又,xiá_ya,CJK-A]
㗈	[口龴{甬字底}力,màn,CJK-A]
㗉	[丰刀各,lüè_è,CJK-A]
㗊	[吅吅,jí_léi,CJK-A]
㗋	[口{负字头}厂矢,hóu,CJK-A]
㗌	[口宀至,zhì,CJK-A]
㗍	[口禾日,0,CJK-A]
㗎	[口力口木,0,CJK-A]
㗏	[口不{横类}{止变},wāi,CJK-A]
㗐	[口大{捺、点类}皿,0,CJK-A]
㗑	[口龵{横类}丰,bai,CJK-A]
㗒	[口{衣框}口,ài,CJK-A]
㗓	[口{撇类}㠯辶,zhuī,CJK-A]
㗔	[口虍文,qiān,CJK-A]
㗕	[口{寒字腰无横}{噩字框}冂,gòu_gōu,CJK-A]
㗖	[口爫臼,dàn,CJK-A]
㗗	[口力白十,bēi,CJK-A]
㗘	[口甫寸,bó,CJK-A]
㗙	[口勹䶹䶹,chū_nà_zhōu,CJK-A]
㗚	[口覀木,lì,CJK-A]
㗛	[口{竹头}{撇类}大,xiào,CJK-A]
㗜	[口亠幺田,xiù,CJK-A]
㗝	[口{美字头}灬,0,CJK-A]
㗞	[口石皮,0,CJK-A]
㗟	[氵{捺、点类}王匕,0,CJK-A]
㗠	[女厶口匕,0,CJK-A]
㗡	[艹亻乃匕,0,CJK-A]
㗢	[口千里力,hóng_dòng_hòng,CJK-A]
㗣	[口廿{见字底}巾,tì,CJK-A]
㗤	[戊{卢字头}{横类}口,cù,CJK-A]
㗥	[口{享字头}子阝,kuò_guō,CJK-A]
㗦	[口耳卯,láo,CJK-A]
㗧	[口穴至,zhì_dié,CJK-A]
㗨	[匚矢殳口,xiē_ǎi,CJK-A]
㗩	[口羽白,xī,CJK-A]
㗪	[口止匕糸,0,CJK-A]
㗫	[口{祭字头}示,qiè,CJK-A]
㗬	[{尚头}夕夕,zhā,CJK-A]
㗭	[口{撇类}米心,xī,CJK-A]
㗮	[夕口广人,0,CJK-A]
㗯	[耂日口匕,0,CJK-A]
㗰	[口彳人龰,cóng,CJK-A]
㗱	[口隹木,jí,CJK-A]
㗲	[口{聿三}土{横类},huò,CJK-A]
㗳	[口{竹头}亼口,tǎ_dā,CJK-A]
㗴	[口門月,yán,CJK-A]
㗵	[口火火欠,xù,CJK-A]
㗶	[口癶弓殳,pō,CJK-A]
㗷	[口宀{寒字腰无横}贝,sǎi,CJK-A]
㗸	[口行缶,0,CJK-A]
㗹	[口隹心,0,CJK-A]
㗺	[口{横类}大非,0,CJK-A]
㗻	[口咼辶,guō,CJK-A]
㗼	[口业䒑未,yè,CJK-A]
㗽	[乡{捺、点类}{即字旁}口,xiǎng,CJK-A]
㗾	[口革亻{化字边},xuē,CJK-A]
㗿	[口門可,hé_xià_xiā,CJK-A]
㘀	[口臼米,zuò,CJK-A]
㘁	[口罒土{南字心},yì,CJK-A]
㘂	[口䒑幺心,cí,CJK-A]
㘃	[口艹{左字框}心,0,CJK-A]
㘄	[口木罒方,lēng,CJK-A]
㘅	[口行金,xián,CJK-A]
㘆	[口士口至,tǎi,CJK-A]
㘇	[口火火木,róng,CJK-A]
㘈	[口匕矢疋,yì_nǐ,CJK-A]
㘉	[口{竹头}{即字旁}卩,zhì,CJK-A]
㘊	[口{雨头}言,xī_yì,CJK-A]
㘋	[口臣又貝,xián,CJK-A]
㘌	[口虍豕刂,jù,CJK-A]
㘍	[口小隹戈,jí,CJK-A]
㘎	[口门{折类}攵,hǎn,CJK-A]
㘏	[䒑自辶匕,0,CJK-A]
㘐	[口馬六乂,pào,CJK-A]
㘑	[口士示氺,lì,CJK-A]
㘒	[禾千里匕,0,CJK-A]
㘓	[口門束丷,lán,CJK-A]
㘔	[口宀{寒字腰无横}貝,sǎi,CJK-A]
㘕	[口艹臣皿,hǎn_lán,CJK-A]
㘖	[口{立无横}厂頁,yán,CJK-A]
㘗	[口目目隹,qū,CJK-A]
㘘	[言糹糹口,0,CJK-A]
㘙	[口吅厂攵,yán,CJK-A]
㘚	[口門{折类}攵,hǎn,CJK-A]
㘛	[口亼口{龍字边},kān,CJK-A]
㘜	[隹言隹口,chǐ,CJK-A]
㘝	[囗又,niè,CJK-A]
㘞	[囗力,huò,CJK-A]
㘟	[囗廾,0,CJK-A]
㘠	[囗心{撇类},bì,CJK-A]
㘡	[囗甲,xiá,CJK-A]
㘢	[囗光,wěng,CJK-A]
㘣	[囗口{青字底},xuán_yuán,CJK-A]
㘤	[囗氵{乔字底}{折类},wān,CJK-A]
㘥	[囗爫缶糸,yóu,CJK-A]
㘦	[土力,qín,CJK-A]
㘧	[土予,xù,CJK-A]
㘨	[土冂人,niè,CJK-A]
㘩	[土{比字旁}匕,bì,CJK-A]
㘪	[土毛,hào,CJK-A]
㘫	[土井,jǐng,CJK-A]
㘬	[土勹厶,ào_wù,CJK-A]
㘭	[土幺{折类},ào,CJK-A]
㘮	[土尸{捺、点类},0,CJK-A]
㘯	[土{卧人}力,0,CJK-A]
㘰	[土斗,zhēn,CJK-A]
㘱	[土冂{里无日},tān,CJK-A]
㘲	[土尸九,jú,CJK-A]
㘳	[{北字旁}匕土,0,CJK-A]
㘴	[口人土,zuò,CJK-A]
㘵	[土{左字框}巾,bù,CJK-A]
㘶	[夕㐄土,jié,CJK-A]
㘷	[土艹乂,ài,CJK-A]
㘸	[歹匕土,zàng_zuò,CJK-A]
㘹	[止匕土,cí,CJK-A]
㘺	[土亻戈,fá,CJK-A]
㘻	[土囗大,0,CJK-A]
㘼	[土耂{横类}{折类},0,CJK-A]
㘽	[十戈土,0,CJK-A]
㘾	[土宀{横类}{于无横},0,CJK-A]
㘿	[土日土,niè,CJK-A]
㙀	[土穴九,liù_jiù,CJK-A]
㙁	[土{卧人}母,méi_mù,CJK-A]
㙂	[土丷口儿,duì_wèng,CJK-A]
㙃	[土{丘无横}{共字底},bāng,CJK-A]
㙄	[土{比字旁}匕土,bì,CJK-A]
㙅	[土口木,bǎo,CJK-A]
㙆	[土宀{左字框}厶,0,CJK-A]
㙇	[土豕{捺、点类},chù,CJK-A]
㙈	[土虎,xià,CJK-A]
㙉	[土{典字头}{共字底},tiǎn,CJK-A]
㙊	[土{镸无厶}{畏字底},cháng_zhàng,CJK-A]
㙋	[土{其字头无横}{共字底},0,CJK-A]
㙌	[土肀{乔字底}八,0,CJK-A]
㙍	[土又又又,duō,CJK-A]
㙎	[土戊{横类}女,wēi,CJK-A]
㙏	[土{卧人}日夂,fù,CJK-A]
